Name,links,Rating
Anand,https://www.imdb.com//title/tt0066763/,8.7
Drishyam,https://www.imdb.com//title/tt3417422/,8.6
Nayakan,https://www.imdb.com//title/tt0093603/,8.6
Anbe Sivam,https://www.imdb.com//title/tt0367495/,8.5
Gol Maal,https://www.imdb.com//title/tt0079221/,8.5
Vikram Vedha,https://www.imdb.com//title/tt6148156/,8.5
Black Friday,https://www.imdb.com//title/tt0400234/,8.4
Ratsasan,https://www.imdb.com//title/tt7060344/,8.4
Pather Panchali,https://www.imdb.com//title/tt0048473/,8.4
Dangal,https://www.imdb.com//title/tt5074352/,8.4
Taare Zameen Par,https://www.imdb.com//title/tt0986264/,8.4
3 Idiots,https://www.imdb.com//title/tt1187043/,8.4
96,https://www.imdb.com//title/tt7019842/,8.3
Aruvi,https://www.imdb.com//title/tt5867800/,8.3
Thalapathi,https://www.imdb.com//title/tt0101649/,8.3
Jaane Bhi Do Yaaro,https://www.imdb.com//title/tt0085743/,8.3
Manichitrathazhu,https://www.imdb.com//title/tt0214915/,8.3
Guide,https://www.imdb.com//title/tt0059246/,8.3
Andhadhun,https://www.imdb.com//title/tt8108198/,8.3
Chupke Chupke,https://www.imdb.com//title/tt0072783/,8.3
Uri: The Surgical Strike,https://www.imdb.com//title/tt8291224/,8.3
Thani Oruvan,https://www.imdb.com//title/tt4987556/,8.2
Kannathil Muthamittal,https://www.imdb.com//title/tt0312859/,8.2
Khosla Ka Ghosla!,https://www.imdb.com//title/tt0466460/,8.2
Apur Sansar,https://www.imdb.com//title/tt0052572/,8.2
Vada Chennai,https://www.imdb.com//title/tt5959980/,8.2
Peranbu,https://www.imdb.com//title/tt7738784/,8.2
Gully Boy,https://www.imdb.com//title/tt2395469/,8.2
Dhuruvangal Pathinaaru,https://www.imdb.com//title/tt6380520/,8.2
Shahid,https://www.imdb.com//title/tt2181831/,8.2
Talvar,https://www.imdb.com//title/tt4934950/,8.2
Aparajito,https://www.imdb.com//title/tt0048956/,8.2
Mahanati,https://www.imdb.com//title/tt7465992/,8.2
Drishyam,https://www.imdb.com//title/tt4430212/,8.2
Mughal-E-Azam,https://www.imdb.com//title/tt0054098/,8.1
Hera Pheri,https://www.imdb.com//title/tt0242519/,8.1
Black,https://www.imdb.com//title/tt0375611/,8.1
Satya,https://www.imdb.com//title/tt0195231/,8.1
Jigarthanda,https://www.imdb.com//title/tt3569782/,8.1
Soodhu Kavvum,https://www.imdb.com//title/tt2877108/,8.1
Bhaag Milkha Bhaag,https://www.imdb.com//title/tt2356180/,8.1
Paan Singh Tomar,https://www.imdb.com//title/tt1620933/,8.1
Jo Jeeta Wohi Sikandar,https://www.imdb.com//title/tt0104561/,8.1
"Swades: We, the People",https://www.imdb.com//title/tt0367110/,8.1
Rang De Basanti,https://www.imdb.com//title/tt0405508/,8.1
Queen,https://www.imdb.com//title/tt3322420/,8.1
OMG: Oh My God!,https://www.imdb.com//title/tt2283748/,8.1
Sholay,https://www.imdb.com//title/tt0073707/,8.1
Premam,https://www.imdb.com//title/tt4679210/,8.1
Sairat,https://www.imdb.com//title/tt5312232/,8.1
Gangs of Wasseypur,https://www.imdb.com//title/tt1954470/,8.1
Chak De! India,https://www.imdb.com//title/tt0871510/,8.1
Bangalore Days,https://www.imdb.com//title/tt3668162/,8.1
Mudhalvan,https://www.imdb.com//title/tt0220656/,8.1
A Wednesday,https://www.imdb.com//title/tt1280558/,8.1
Munna Bhai M.B.B.S.,https://www.imdb.com//title/tt0374887/,8.1
Ustad Hotel,https://www.imdb.com//title/tt2218988/,8.1
Anniyan,https://www.imdb.com//title/tt0376127/,8.1
Roja,https://www.imdb.com//title/tt0105271/,8.1
Udaan,https://www.imdb.com//title/tt1639426/,8.1
Dil Chahta Hai,https://www.imdb.com//title/tt0292490/,8.1
Tumbbad,https://www.imdb.com//title/tt8239946/,8.1
Andaz Apna Apna,https://www.imdb.com//title/tt0109117/,8.1
Sarfarosh,https://www.imdb.com//title/tt0200087/,8.1
Lagaan: Once Upon a Time in India,https://www.imdb.com//title/tt0169102/,8.1
Pink,https://www.imdb.com//title/tt5571734/,8.1
